1,1961,500000
2,1961,500000
3,1961,500000
4,1961,500000
5,1961,500000
6,227337,8960
7,1961,500000
8,227337,5730
9,1961,500000
10,1961,500000
11,1961,500000
12,1961,500000
13,1961,500000
14,227337,9550
15,1961,500000
16,1961,500000
17,227337,10200
18,227337,8420
19,1961,500000
20,1961,500000
21,1961,500000
22,1961,500000
23,1961,500000
24,1961,500000
25,1961,500000
26,1961,500000
27,1961,500000
28,1961,500000
29,1961,500000
30,1961,500000
31,1961,500000
32,1961,500000
33,1961,500000
34,227337,10110
35,1961,500000
36,1961,500000
37,1961,500000
38,1961,500000
39,1961,500000
40,1961,500000
41,1961,500000
42,1961,500000
43,1961,500000
44,1961,500000
45,1961,500000
46,1961,500000
47,1961,500000
48,1961,500000
49,1961,500000
50,1961,500000
51,1961,500000
52,1961,500000
53,1961,500000
54,1961,500000
55,227337,32660
56,1961,500000
57,1961,500000
58,227337,8540
59,1961,500000
60,1961,500000
61,1961,500000
62,1961,500000
63,1961,500000
64,1961,500000
65,1961,500000
66,1961,500000
67,1961,500000
68,1961,500000
69,1961,500000
70,1961,500000
71,1961,500000
72,1961,500000
73,1961,500000
74,1961,500000
75,1961,500000
76,1961,500000
77,227337,5500
78,1961,500000
79,1961,500000
80,1961,500000
81,227337,9560
82,1961,500000
83,1961,500000
84,1961,500000
85,1961,500000
86,1961,500000
87,1961,500000
88,1961,500000
89,1961,500000
90,1961,500000
91,1961,500000
92,1961,500000
93,1961,500000
94,1961,500000
95,1961,500000
96,1961,500000
97,227337,8860
98,227337,9690
99,227337,7750
100,227337,8670
101,1961,500000
102,1961,500000
103,1961,500000
104,227337,11430
105,1961,500000
106,1961,500000
107,1961,500000
108,227337,6160
109,1961,500000
110,1961,500000
111,1961,500000
112,1961,500000
113,227337,10530
114,1961,500000
115,1961,500000
116,1961,500000
117,1961,500000
118,1961,500000
119,1961,500000
120,1961,500000
121,1961,500000
122,1961,500000
123,227337,79900
124,1961,500000
125,227337,8490
126,1961,500000
127,1961,500000
128,227337,7010
129,1961,500000
130,1961,500000
131,1961,500000
132,227337,11260
133,1961,500000
134,227337,32460
135,227337,9180
136,1961,500000
137,1961,500000
138,1961,500000
139,1961,500000
140,1961,500000
141,1961,500000
142,1961,500000
143,1961,500000
144,227337,12740
145,1961,500000
146,1961,500000
147,1961,500000
148,227337,7130
149,227337,17930
150,1961,500000
151,1961,500000
152,1961,500000
153,1961,500000
154,1961,500000
155,227337,9370
156,1961,500000
157,1961,500000
158,1961,500000
159,1961,500000
160,1961,500000
161,1961,500000
162,227337,8930
163,227337,10420
164,227337,6200
165,1961,500000
166,227337,13880
167,227337,8500
168,1961,500000
169,1961,500000
170,1961,500000
171,1961,500000
172,1961,500000
173,1961,500000
174,1961,500000
175,1961,500000
176,1961,500000
177,1961,500000
178,1961,500000
179,1961,500000
180,1961,500000
181,227337,7870
182,1961,500000
183,1961,500000
184,1961,500000
185,1961,500000
186,1961,500000
187,1961,500000
188,1961,500000
189,1961,500000
190,1961,500000
191,1961,500000
192,1961,500000
193,1961,500000
194,1961,500000
195,227337,7200
196,227337,6490
197,1961,500000
198,1961,500000
199,227337,8670
200,1961,500000
201,1961,500000
202,227337,12840
203,1961,500000
204,1961,500000
205,1961,500000
206,1961,500000
207,227337,9120
208,1961,500000
209,1961,500000
210,1961,500000
211,1961,500000
212,227337,6750
213,1961,500000
214,1961,500000
215,1961,500000
216,1961,500000
217,1961,500000
218,1961,500000
219,1961,500000
220,1961,500000
221,1961,500000
222,1961,500000
223,227337,7140
224,1961,500000
225,1961,500000
226,1961,500000
227,227337,14200
228,1961,500000
229,227337,156720
230,1961,500000
231,227337,21680
232,1961,500000
233,1961,500000
234,1961,500000
235,1961,500000
236,1961,500000
237,1961,500000
238,1961,500000
239,227337,9260
240,1961,500000
241,1961,500000
242,1961,500000
243,1961,500000
244,1961,500000
245,227337,5350
246,1961,500000
247,1961,500000
248,1961,500000
249,1961,500000
250,227337,8940
251,1961,500000
252,1961,500000
253,1961,500000
254,1961,500000
255,1961,500000
256,227337,11030
257,1961,500000
258,227337,10280
259,1961,500000
260,1961,500000
261,1961,500000
262,1961,500000
263,1961,500000
264,1961,500000
265,1961,500000
266,1961,500000
267,1961,500000
268,1961,500000
269,227337,8940
270,227337,6780
271,1961,500000
272,1961,500000
273,1961,500000
274,227337,7810
275,1961,500000
276,1961,500000
277,227337,12540
278,1961,500000
279,1961,500000
280,1961,500000
281,1961,500000
282,1961,500000
283,227337,8530
284,1961,500000
285,1961,500000
286,1961,500000
287,1961,500000
288,1961,500000
289,227337,7640
290,1961,500000
291,1961,500000
292,1961,500000
293,1961,500000
294,1961,500000
295,1961,500000
296,227337,6500
297,1961,500000
298,1961,500000
299,1961,500000
300,227337,4900
301,1961,500000
302,227337,4660
303,1961,500000
304,227337,4000
305,1961,500000
306,1961,500000
307,227337,82660
308,1961,500000
309,1961,500000
310,1961,500000
311,1961,500000
312,1961,500000
313,1961,500000
314,1961,500000
315,1961,500000
316,1961,500000
317,1961,500000
318,1961,500000
319,1961,500000
320,1961,500000
321,1961,500000
322,1961,500000
323,1961,500000
324,227337,7060
325,1961,500000
326,1961,500000
327,1961,500000
328,227337,10140
329,1961,500000
330,1961,500000
331,1961,500000
332,227337,6600
333,1961,500000
334,1961,500000
335,1961,500000
336,1961,500000
337,1961,500000
338,1961,500000
339,1961,500000
340,1961,500000
341,1961,500000
342,1961,500000
343,1961,500000
